,NAME,Brand,MC,ZONE,Price_Range
825,EKTAA GROUNDNUT PP 1Kg,EKTAA,Groundnut,NORTH,130.3439753 - 186.4053066
826,EKTAA GROUNDNUT PP 1Kg,EKTAA,Groundnut,SOUTH,130.3439753 - 186.4053066
827,EKTAA GROUNDNUT PP 1Kg,EKTAA,Groundnut,WEST,130.3439753 - 186.4053066
828,EKTAA GROUNDNUT PP 500g,EKTAA,Groundnut,EAST,64.9021215 - 91.33075985
829,EKTAA GROUNDNUT PP 500g,EKTAA,Groundnut,NORTH,64.9021215 - 91.33075985
830,EKTAA GROUNDNUT PP 500g,EKTAA,Groundnut,SOUTH,64.9021215 - 91.33075985
831,EKTAA GROUNDNUT PP 500g,EKTAA,Groundnut,WEST,64.9021215 - 91.33075985
832,EKTAA JAGGERY AJWAIN JR 250g,EKTAA,Jaggery,EAST,34.40298507 - 60.18489066
833,EKTAA JAGGERY AJWAIN JR 250g,EKTAA,Jaggery,NORTH,34.40298507 - 60.18489066
834,EKTAA JAGGERY AJWAIN JR 250g,EKTAA,Jaggery,SOUTH,34.40298507 - 60.18489066
835,EKTAA JAGGERY AJWAIN JR 250g,EKTAA,Jaggery,WEST,34.40298507 - 60.18489066
836,EKTAA JAGGERY AJWAIN JR 250g + 50g,EKTAA,Jaggery,EAST,66.0 - 70.0
837,EKTAA JAGGERY AJWAIN JR 250g + 50g,EKTAA,Jaggery,NORTH,66.0 - 70.0
