,NAME,Brand,MC,ZONE,Price_Range
643,DESI ATTA MOONG PAKORA MIX PP 200g,DESI ATTA,North Indian Mixes,NORTH,36.04444444 - 60.98484848
644,DESI ATTA MOONG PAKORA MIX PP 200g,DESI ATTA,North Indian Mixes,SOUTH,36.04444444 - 60.98484848
645,DESI ATTA MOONG PAKORA MIX PP 200g,DESI ATTA,North Indian Mixes,WEST,36.04444444 - 60.98484848
646,DESI ATTA MOONG WHOLE PP 200g,DESI ATTA,Health & Other Flour,EAST,32.78571429 - 50.08107143
647,DESI ATTA MOONG WHOLE PP 200g,DESI ATTA,Health & Other Flour,NORTH,32.78571429 - 50.08107143
648,DESI ATTA MOONG WHOLE PP 200g,DESI ATTA,Health & Other Flour,SOUTH,32.78571429 - 50.08107143
649,DESI ATTA MOONG WHOLE PP 200g,DESI ATTA,Health & Other Flour,WEST,32.78571429 - 50.08107143
650,DESI ATTA MULTIGRAIN BHATURA MIX PP 500g,DESI ATTA,North Indian Mixes,EAST,45.80487805 - 83.0
651,DESI ATTA MULTIGRAIN BHATURA MIX PP 500g,DESI ATTA,North Indian Mixes,NORTH,45.80487805 - 83.0
652,DESI ATTA MULTIGRAIN BHATURA MIX PP 500g,DESI ATTA,North Indian Mixes,SOUTH,45.80487805 - 83.0
653,DESI ATTA MULTIGRAIN BHATURA MIX PP 500g,DESI ATTA,North Indian Mixes,WEST,45.80487805 - 83.0
654,DESI ATTA MULTIGRAIN DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,EAST,48.925 - 60.0
655,DESI ATTA MULTIGRAIN DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,NORTH,48.925 - 60.0
656,DESI ATTA MULTIGRAIN DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,SOUTH,48.925 - 60.0
657,DESI ATTA MULTIGRAIN DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,WEST,48.925 - 60.0
658,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,EAST,87.70108696 - 99.02851852
659,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,NORTH,87.70108696 - 99.02851852
660,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,SOUTH,87.70108696 - 99.02851852
661,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,WEST,87.70108696 - 99.02851852
662,DESI ATTA NACHNI/RAGI ATTA PP 500g,DESI ATTA,Health & Other Flour,EAST,30.27493151 - 44.93273543
663,DESI ATTA NACHNI/RAGI ATTA PP 500g,DESI ATTA,Health & Other Flour,NORTH,30.27493151 - 44.93273543
664,DESI ATTA NACHNI/RAGI ATTA PP 500g,DESI ATTA,Health & Other Flour,SOUTH,30.27493151 - 44.93273543
665,DESI ATTA NACHNI/RAGI ATTA PP 500g,DESI ATTA,Health & Other Flour,WEST,30.27493151 - 44.93273543
666,DESI ATTA RAGI ATTA PP 1Kg,DESI ATTA,Health & Other Flour,EAST,63.56367226 - 84.0
667,DESI ATTA RAGI ATTA PP 1Kg,DESI ATTA,Health & Other Flour,NORTH,63.56367226 - 84.0
668,DESI ATTA RAGI ATTA PP 1Kg,DESI ATTA,Health & Other Flour,SOUTH,63.56367226 - 84.0
669,DESI ATTA RAGI ATTA PP 1Kg,DESI ATTA,Health & Other Flour,WEST,63.56367226 - 84.0
670,DESI ATTA RAJGIRA/AMARANTH ATTA PP 200g,DESI ATTA,Upwas Flour,EAST,52.15714286 - 65.06632653
671,DESI ATTA RAJGIRA/AMARANTH ATTA PP 200g,DESI ATTA,Upwas Flour,NORTH,52.15714286 - 65.06632653
672,DESI ATTA RAJGIRA/AMARANTH ATTA PP 200g,DESI ATTA,Upwas Flour,SOUTH,52.15714286 - 65.06632653
673,DESI ATTA RAJGIRA/AMARANTH ATTA PP 200g,DESI ATTA,Upwas Flour,WEST,52.15714286 - 65.06632653
674,DESI ATTA RAVA DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,EAST,41.72342193 - 48.66990291
675,DESI ATTA RAVA DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,NORTH,41.72342193 - 48.66990291
676,DESI ATTA RAVA DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,SOUTH,41.72342193 - 48.66990291
677,DESI ATTA RAVA DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,WEST,41.72342193 - 48.66990291
678,DESI ATTA RAVA DOSA PP 500g,DESI ATTA,South Indian Mixes,EAST,62.2923588 - 85.22666667
679,DESI ATTA RAVA DOSA PP 500g,DESI ATTA,South Indian Mixes,NORTH,62.2923588 - 85.22666667
680,DESI ATTA RAVA DOSA PP 500g,DESI ATTA,South Indian Mixes,SOUTH,62.2923588 - 85.22666667
681,DESI ATTA RAVA DOSA PP 500g,DESI ATTA,South Indian Mixes,WEST,62.2923588 - 85.22666667
682,DESI ATTA RED CHANA ATTA PP 500g,DESI ATTA,Besan,EAST,60.64642082 - 79.02025641
683,DESI ATTA RED CHANA ATTA PP 500g,DESI ATTA,Besan,NORTH,60.64642082 - 79.02025641
684,DESI ATTA RED CHANA ATTA PP 500g,DESI ATTA,Besan,SOUTH,60.64642082 - 79.02025641
685,DESI ATTA RED CHANA ATTA PP 500g,DESI ATTA,Besan,WEST,60.64642082 - 79.02025641
686,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,EAST,45.24390244 - 57.26215443
687,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,NORTH,45.24390244 - 57.26215443
688,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,SOUTH,45.24390244 - 57.26215443
689,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,WEST,45.24390244 - 57.26215443
690,DESI ATTA RICE IDLI MIX PP 200g,DESI ATTA,South Indian Mixes,EAST,32.22647059 - 52.92857143
691,DESI ATTA RICE IDLI MIX PP 200g,DESI ATTA,South Indian Mixes,NORTH,32.22647059 - 52.92857143
692,DESI ATTA RICE IDLI MIX PP 200g,DESI ATTA,South Indian Mixes,SOUTH,32.22647059 - 52.92857143
693,DESI ATTA RICE IDLI MIX PP 200g,DESI ATTA,South Indian Mixes,WEST,32.22647059 - 52.92857143
694,DESI ATTA RICE IDLI MIX PP 500g,DESI ATTA,South Indian Mixes,EAST,70.18181818 - 85.60714286
695,DESI ATTA RICE IDLI MIX PP 500g,DESI ATTA,South Indian Mixes,NORTH,70.18181818 - 85.60714286
696,DESI ATTA RICE IDLI MIX PP 500g,DESI ATTA,South Indian Mixes,SOUTH,70.18181818 - 85.60714286
697,DESI ATTA RICE IDLI MIX PP 500g,DESI ATTA,South Indian Mixes,WEST,70.18181818 - 85.60714286
698,DESI ATTA ROASTED SOOJI/RAVA PP 500g,DESI ATTA,Rava,EAST,23.01828106 - 35.54069767
699,DESI ATTA ROASTED SOOJI/RAVA PP 500g,DESI ATTA,Rava,NORTH,23.01828106 - 35.54069767
700,DESI ATTA ROASTED SOOJI/RAVA PP 500g,DESI ATTA,Rava,SOUTH,23.01828106 - 35.54069767
701,DESI ATTA ROASTED SOOJI/RAVA PP 500g,DESI ATTA,Rava,WEST,23.01828106 - 35.54069767
702,DESI ATTA ROASTED SUJI PP 1Kg,DESI ATTA,Rava,EAST,59.04736842 - 70.02566372
703,DESI ATTA ROASTED SUJI PP 1Kg,DESI ATTA,Rava,NORTH,59.04736842 - 70.02566372
704,DESI ATTA ROASTED SUJI PP 1Kg,DESI ATTA,Rava,SOUTH,59.04736842 - 70.02566372
705,DESI ATTA ROASTED SUJI PP 1Kg,DESI ATTA,Rava,WEST,59.04736842 - 70.02566372
706,DESI ATTA SABUDANA PP 200g,DESI ATTA,Upwas Flour,EAST,41.22807018 - 54.76190476
707,DESI ATTA SABUDANA PP 200g,DESI ATTA,Upwas Flour,NORTH,41.22807018 - 54.76190476
708,DESI ATTA SABUDANA PP 200g,DESI ATTA,Upwas Flour,SOUTH,41.22807018 - 54.76190476
709,DESI ATTA SABUDANA PP 200g,DESI ATTA,Upwas Flour,WEST,41.22807018 - 54.76190476
710,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,EAST,98.38419619 - 110.1896552
711,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,NORTH,98.38419619 - 110.1896552
712,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,SOUTH,98.38419619 - 110.1896552
713,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,WEST,98.38419619 - 110.1896552
714,DESI ATTA THALIPEETH MIX PP 500g,DESI ATTA,North Indian Mixes,EAST,78.07692308 - 120.8816667
715,DESI ATTA THALIPEETH MIX PP 500g,DESI ATTA,North Indian Mixes,NORTH,78.07692308 - 120.8816667
716,DESI ATTA THALIPEETH MIX PP 500g,DESI ATTA,North Indian Mixes,SOUTH,78.07692308 - 120.8816667
717,DESI ATTA THALIPEETH MIX PP 500g,DESI ATTA,North Indian Mixes,WEST,78.07692308 - 120.8816667
718,DESI ATTA THALIPT/MGRN PRTHA MIX PP 200g,DESI ATTA,North Indian Mixes,EAST,45.77777778 - 58.43506494
719,DESI ATTA THALIPT/MGRN PRTHA MIX PP 200g,DESI ATTA,North Indian Mixes,NORTH,45.77777778 - 58.43506494
720,DESI ATTA THALIPT/MGRN PRTHA MIX PP 200g,DESI ATTA,North Indian Mixes,SOUTH,45.77777778 - 58.43506494
721,DESI ATTA THALIPT/MGRN PRTHA MIX PP 200g,DESI ATTA,North Indian Mixes,WEST,45.77777778 - 58.43506494
722,DESI ATTA UPMA MIX PP 170g,DESI ATTA,South Indian Mixes,EAST,30.63414634 - 35.47085202
723,DESI ATTA UPMA MIX PP 170g,DESI ATTA,South Indian Mixes,NORTH,30.63414634 - 35.47085202
724,DESI ATTA UPMA MIX PP 170g,DESI ATTA,South Indian Mixes,SOUTH,30.63414634 - 35.47085202
725,DESI ATTA UPMA MIX PP 170g,DESI ATTA,South Indian Mixes,WEST,30.63414634 - 35.47085202
726,DESI ATTA UPMA SUJI PP 1kg,DESI ATTA,Rava,EAST,55.52631579 - 69.4205298
727,DESI ATTA UPMA SUJI PP 1kg,DESI ATTA,Rava,NORTH,55.52631579 - 69.4205298
728,DESI ATTA UPMA SUJI PP 1kg,DESI ATTA,Rava,WEST,55.52631579 - 69.4205298
729,DESI ATTA UPMA SUJI PP 500g,DESI ATTA,Rava,EAST,36.82581967 - 42.0
730,DESI ATTA UPMA SUJI PP 500g,DESI ATTA,Rava,NORTH,36.82581967 - 42.0
731,DESI ATTA UPMA SUJI PP 500g,DESI ATTA,Rava,WEST,36.82581967 - 42.0
732,DESI ATTA URAD DAL PP 200g,DESI ATTA,Health & Other Flour,EAST,47.16666667 - 65.09290323
733,DESI ATTA URAD DAL PP 200g,DESI ATTA,Health & Other Flour,NORTH,47.16666667 - 65.09290323
734,DESI ATTA URAD DAL PP 200g,DESI ATTA,Health & Other Flour,SOUTH,47.16666667 - 65.09290323
735,DESI ATTA URAD DAL PP 200g,DESI ATTA,Health & Other Flour,WEST,47.16666667 - 65.09290323
736,DESI ATTA WHOLE GROATS OATS ATTA PP 500g,DESI ATTA,Health & Other Flour,EAST,71.31111111 - 86.60294118
737,DESI ATTA WHOLE GROATS OATS ATTA PP 500g,DESI ATTA,Health & Other Flour,NORTH,71.31111111 - 86.60294118
738,DESI ATTA WHOLE GROATS OATS ATTA PP 500g,DESI ATTA,Health & Other Flour,SOUTH,71.31111111 - 86.60294118
739,DESI ATTA WHOLE GROATS OATS ATTA PP 500g,DESI ATTA,Health & Other Flour,WEST,71.31111111 - 86.60294118
740,DHANA LOOSE,GOLDEN HARVEST,Coriander/Dhania Who,SOUTH,68.99965917 - 69.003367
741,DHANADAL LOOSE,GOLDEN HARVEST,Other Whole Spices,EAST,54.9 - 54.9
742,DHANIA LOCAL LOOSE,COP LOOSE,Coriander/Dhania Who,SOUTH,119.9731654 - 120.0093991
743,DRIED AMLA LOOSE,GOLDEN HARVEST,Other Dried Fruits,EAST,230.0 - 230.0
744,DRIED AMLA LOOSE,GOLDEN HARVEST,Other Dried Fruits,NORTH,230.0 - 230.0
745,DRIED AMLA LOOSE,GOLDEN HARVEST,Other Dried Fruits,SOUTH,230.0 - 230.0
746,DRIED CHERRY LOOSE,GOLDEN HARVEST,Other Dried Fruits,EAST,150.0 - 150.0
747,DRIED CHERRY LOOSE,GOLDEN HARVEST,Other Dried Fruits,WEST,150.0 - 150.0
748,DRIED GINGER LOOSE,GOLDEN HARVEST,Other Whole Spices,WEST,240.0 - 468.0916031
749,DRIED MANGO LOOSE,GOLDEN HARVEST,Other Dried Fruits,NORTH,600.0 - 600.0
750,DRY AAM PAPAD LOOSE,GOLDEN HARVEST,Other Dried Fruits,EAST,450.0 - 450.0
751,DRY AAM PAPAD LOOSE,GOLDEN HARVEST,Other Dried Fruits,WEST,450.0 - 450.0
752,DRY FRT DRIED KIWI LOOSE,COP LOOSE,Other Dried Fruits,EAST,1088.0 - 1088.0
753,DRY FRT PRUNES LOOSE,COP LOOSE,Other Dried Fruits,EAST,840.0 - 840.0
754,DRY FRT WATER MELON SEED LOOSE,COP LOOSE,Seeds & Super food,EAST,79.00044228 - 313.0409357
755,DRY FRT WATER MELON SEED LOOSE,COP LOOSE,Seeds & Super food,NORTH,79.00044228 - 313.0409357
756,DRY FRT WATER MELON SEED LOOSE,COP LOOSE,Seeds & Super food,SOUTH,79.00044228 - 313.0409357
757,DRY FRT WATER MELON SEED LOOSE,COP LOOSE,Seeds & Super food,WEST,79.00044228 - 313.0409357
758,DRY FRUIT AMALA SWEET LOOSE,COP LOOSE,Other Dried Fruits,SOUTH,246.3536606 - 284.0
759,DRY FRUIT AMALA SWEET LOOSE,COP LOOSE,Other Dried Fruits,WEST,246.3536606 - 284.0
760,DRY FRUIT CRANBERRY LOOSE,COP LOOSE,Other Dried Fruits,SOUTH,783.6170288 - 933.0
761,DRY FRUIT KAJU 2PC LOOSE,COP LOOSE,Cashew,EAST,1031.007898 - 1105.0
762,DRY FRUIT KAJU 2PC LOOSE,COP LOOSE,Cashew,SOUTH,1031.007898 - 1105.0
763,DRY FRUIT KAJU 2PC LOOSE,COP LOOSE,Cashew,WEST,1031.007898 - 1105.0
764,DRY FRUIT KAJU 4PC LOOSE,COP LOOSE,Cashew,EAST,540.0 - 1093.881119
765,DRY FRUIT KAJU 4PC LOOSE,COP LOOSE,Cashew,NORTH,540.0 - 1093.881119
766,DRY FRUIT KAJU 4PC LOOSE,COP LOOSE,Cashew,SOUTH,540.0 - 1093.881119
767,DRY FRUIT KAJU 4PC LOOSE,COP LOOSE,Cashew,WEST,540.0 - 1093.881119
768,DRY FRUIT KAJU SALTED WHO LOOSE,COP LOOSE,Flavoured Cashew,EAST,675.0 - 1325.0
769,DRY FRUIT KAJU SPECIAL LOOSE,COP LOOSE,Cashew,SOUTH,495.0 - 644.9552239
770,DRY FRUIT KAJU STANDARD LOOSE,COP LOOSE,Cashew,WEST,715.3819242 - 1130.394737
771,DRY FRUIT KHARIK BLACK LOOSE,COP LOOSE,Dates,NORTH,149.0 - 231.0005738
772,DRY FRUIT KHARIK BLACK LOOSE,COP LOOSE,Dates,SOUTH,149.0 - 231.0005738
773,DRY FRUIT KHARIK BLACK LOOSE,COP LOOSE,Dates,WEST,149.0 - 231.0005738
774,DRY FRUIT KHARIK YELLOW LOOSE,COP LOOSE,Dates,SOUTH,147.0021253 - 202.5452398
775,DRY FRUIT KHARIK YELLOW LOOSE,COP LOOSE,Dates,WEST,147.0021253 - 202.5452398
776,DRY FRUIT KISMISH INDIAN LOOSE,COP LOOSE,Raisin,EAST,185.0188679 - 482.0
777,DRY FRUIT KISMISH INDIAN LOOSE,COP LOOSE,Raisin,NORTH,185.0188679 - 482.0
778,DRY FRUIT KISMISH INDIAN LOOSE,COP LOOSE,Raisin,SOUTH,185.0188679 - 482.0
779,DRY FRUIT KISMISH INDIAN LOOSE,COP LOOSE,Raisin,WEST,185.0188679 - 482.0
780,DRYFRUIT CASHEW 240 LOOSE,COP LOOSE,Cashew,WEST,600.0 - 1288.957698
781,DRYFRUIT PRUNES LOOSE,COP LOOSE,Other Dried Fruits,SOUTH,734.0256525 - 734.0256525
782,DUBAR PREMIUM LOOSE,COP LOOSE,Basmati Dubar Rice,EAST,38.99845321 - 73.18294144
783,DUBAR PREMIUM LOOSE,COP LOOSE,Basmati Dubar Rice,NORTH,38.99845321 - 73.18294144
784,DUBAR PREMIUM LOOSE,COP LOOSE,Basmati Dubar Rice,SOUTH,38.99845321 - 73.18294144
785,DUBAR PREMIUM LOOSE,COP LOOSE,Basmati Dubar Rice,WEST,38.99845321 - 73.18294144
786,DUDHESWAR RICE BG 25Kg,COP UNBRANDED,Single Boiled Rice,EAST,1150.863636 - 1151.430657
787,DUDHESWAR STANDARDBOILED RICE LOOSE,COP LOOSE,Single Boiled Rice,EAST,19.0 - 49.98319773
788,DUDHESWAR STANDARDBOILED RICE LOOSE,COP LOOSE,Single Boiled Rice,NORTH,19.0 - 49.98319773
789,DUDHESWAR STANDARDBOILED RICE LOOSE,COP LOOSE,Single Boiled Rice,SOUTH,19.0 - 49.98319773
790,DUDHESWAR STANDARDBOILED RICE LOOSE,COP LOOSE,Single Boiled Rice,WEST,19.0 - 49.98319773
791,Dhaniya 200g,FARMERS PRIDE,Coriander/Dhania Who,SOUTH,32.54545455 - 36.0
792,Double Beans 200g,FARMERS PRIDE,Other Whole Pulses,SOUTH,40.0 - 40.0
793,Dry Copra 200g,FARMERS PRIDE,Dried Coconut/Kopra,SOUTH,60.0 - 60.0
794,Dry Dates 100g,FARMERS PRIDE,Dates,SOUTH,35.0 - 35.23809524
795,Dry Ginger 50g,FARMERS PRIDE,Other Whole Spices,SOUTH,14.0 - 16.41
796,EATING SODA LOOSE,COP LOOSE,Other Powdered Spice,EAST,21.99604743 - 26.0
797,EATING SODA LOOSE,COP LOOSE,Other Powdered Spice,SOUTH,21.99604743 - 26.0
798,ECONOMY MASOORI LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,29.74220779 - 36.201675
799,ECONOMY MASOORI LOOSE,COP LOOSE,Kolam Raw Rice,WEST,29.74220779 - 36.201675
800,EKTAA AVALLAKHI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,EAST,49.10031153 - 71.0
801,EKTAA AVALLAKHI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,NORTH,49.10031153 - 71.0
802,EKTAA AVALLAKHI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,SOUTH,49.10031153 - 71.0
803,EKTAA AVALLAKHI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,EAST,23.90769231 - 38.82758621
804,EKTAA AVALLAKHI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,NORTH,23.90769231 - 38.82758621
805,EKTAA AVALLAKHI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,SOUTH,23.90769231 - 38.82758621
806,EKTAA BHUNA POHA/SIKA CHIWRA 400g,EKTAA,Poha/Avalakki/Chirwa,NORTH,37.1640625 - 45.0
807,EKTAA BHUNA POHA/SIKA CHIWRA 400g,EKTAA,Poha/Avalakki/Chirwa,WEST,37.1640625 - 45.0
808,EKTAA CANDY JAGGERY CARDAMOM JR 250g,EKTAA,Jaggery,EAST,25.0 - 65.0
809,EKTAA CANDY JAGGERY CARDAMOM JR 250g,EKTAA,Jaggery,NORTH,25.0 - 65.0
810,EKTAA CANDY JAGGERY CARDAMOM JR 250g,EKTAA,Jaggery,SOUTH,25.0 - 65.0
811,EKTAA CANDY JAGGERY CARDAMOM JR 250g,EKTAA,Jaggery,WEST,25.0 - 65.0
812,EKTAA CRL UJJAINI POHA 1kg+POHA 500g OP,EKTAA,Poha/Avalakki/Chirwa,EAST,74.25210084 - 115.0
813,EKTAA CRL UJJAINI POHA 1kg+POHA 500g OP,EKTAA,Poha/Avalakki/Chirwa,NORTH,74.25210084 - 115.0
814,EKTAA CRL UJJAINI POHA 1kg+POHA 500g OP,EKTAA,Poha/Avalakki/Chirwa,SOUTH,74.25210084 - 115.0
815,EKTAA CRL UJJAINI POHA 1kg+POHA 500g OP,EKTAA,Poha/Avalakki/Chirwa,WEST,74.25210084 - 115.0
816,EKTAA FTN BHUNA BHUNJA CHANA PP 250g,EKTAA,Futana,EAST,41.16722689 - 51.0
817,EKTAA FTN BHUNA BHUNJA CHANA PP 250g,EKTAA,Futana,NORTH,41.16722689 - 51.0
818,EKTAA FTN BHUNA BHUNJA CHANA PP 250g,EKTAA,Futana,SOUTH,41.16722689 - 51.0
819,EKTAA FTN BHUNA BHUNJA CHANA PP 250g,EKTAA,Futana,WEST,41.16722689 - 51.0
820,EKTAA FTN BHUNA BHUNJA CHANA PP 500g,EKTAA,Futana,EAST,76.39273154 - 89.0
821,EKTAA FTN BHUNA BHUNJA CHANA PP 500g,EKTAA,Futana,NORTH,76.39273154 - 89.0
822,EKTAA FTN BHUNA BHUNJA CHANA PP 500g,EKTAA,Futana,SOUTH,76.39273154 - 89.0
823,EKTAA FTN BHUNA BHUNJA CHANA PP 500g,EKTAA,Futana,WEST,76.39273154 - 89.0
824,EKTAA GROUNDNUT PP 1Kg,EKTAA,Groundnut,EAST,130.3439753 - 186.4053066
