,Unnamed: 0,NAME,Brand,MC,ZONE,Price_Range
42,1035,FRESH & PURE SUNFLOWER OIL JR 5L,FRESH & PURE,Sunflower Oil,SOUTH,381.0774632 - 545.7420597
43,1036,FRESH & PURE SUNFLOWER OIL JR 5L,FRESH & PURE,Sunflower Oil,WEST,381.0774632 - 545.7420597
44,710,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,EAST,98.38419619 - 110.1896552
45,711,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,NORTH,98.38419619 - 110.1896552
46,712,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,SOUTH,98.38419619 - 110.1896552
47,713,DESI ATTA SINGHARA/CHESTNUT PP 200g,DESI ATTA,Upwas Flour,WEST,98.38419619 - 110.1896552
48,1097,GH ATTA 9 GRAIN PP 5Kg,GOLDEN HARVEST,Multigrain Flour,EAST,203.6847662 - 270.7268722
49,1098,GH ATTA 9 GRAIN PP 5Kg,GOLDEN HARVEST,Multigrain Flour,NORTH,203.6847662 - 270.7268722
50,1099,GH ATTA 9 GRAIN PP 5Kg,GOLDEN HARVEST,Multigrain Flour,SOUTH,203.6847662 - 270.7268722
51,1100,GH ATTA 9 GRAIN PP 5Kg,GOLDEN HARVEST,Multigrain Flour,WEST,203.6847662 - 270.7268722
52,1921,GH POW SPICE CORIANDER PP 200g,GOLDEN HARVEST,Coriander/Dhania Pow,EAST,37.23964013 - 62.20926097
53,1922,GH POW SPICE CORIANDER PP 200g,GOLDEN HARVEST,Coriander/Dhania Pow,NORTH,37.23964013 - 62.20926097
54,1923,GH POW SPICE CORIANDER PP 200g,GOLDEN HARVEST,Coriander/Dhania Pow,SOUTH,37.23964013 - 62.20926097
55,1924,GH POW SPICE CORIANDER PP 200g,GOLDEN HARVEST,Coriander/Dhania Pow,WEST,37.23964013 - 62.20926097
56,5700,SANGIS KITCHEN MOTIELAICHI WHOLE PP 100g,'SANGI''S KITCHEN',Cardamom/Elaichi Who,EAST,152.7238095 - 225.0160492
57,5701,SANGIS KITCHEN MOTIELAICHI WHOLE PP 100g,'SANGI''S KITCHEN',Cardamom/Elaichi Who,NORTH,152.7238095 - 225.0160492
58,5702,SANGIS KITCHEN MOTIELAICHI WHOLE PP 100g,'SANGI''S KITCHEN',Cardamom/Elaichi Who,SOUTH,152.7238095 - 225.0160492
59,5703,SANGIS KITCHEN MOTIELAICHI WHOLE PP 100g,'SANGI''S KITCHEN',Cardamom/Elaichi Who,WEST,152.7238095 - 225.0160492
60,1046,FRESH&PURE COW GHEE PP 1L,FRESH & PURE,Cow Ghee,EAST,351.3948394 - 484.7111787
61,1047,FRESH&PURE COW GHEE PP 1L,FRESH & PURE,Cow Ghee,NORTH,351.3948394 - 484.7111787
62,1048,FRESH&PURE COW GHEE PP 1L,FRESH & PURE,Cow Ghee,SOUTH,351.3948394 - 484.7111787
63,1049,FRESH&PURE COW GHEE PP 1L,FRESH & PURE,Cow Ghee,WEST,351.3948394 - 484.7111787
64,549,DESI ATTA CO RAWA IDLI MIX 500g,DESI ATTA,South Indian Mixes,EAST,69.07317073 - 104.0474269
65,550,DESI ATTA CO RAWA IDLI MIX 500g,DESI ATTA,South Indian Mixes,NORTH,69.07317073 - 104.0474269
66,551,DESI ATTA CO RAWA IDLI MIX 500g,DESI ATTA,South Indian Mixes,SOUTH,69.07317073 - 104.0474269
67,552,DESI ATTA CO RAWA IDLI MIX 500g,DESI ATTA,South Indian Mixes,WEST,69.07317073 - 104.0474269
68,3712,GROUNDNUT LOOSE,COP LOOSE,Groundnut,EAST,84.52174785 - 152.7578501
69,3713,GROUNDNUT LOOSE,COP LOOSE,Groundnut,NORTH,84.52174785 - 152.7578501
70,3714,GROUNDNUT LOOSE,COP LOOSE,Groundnut,SOUTH,84.52174785 - 152.7578501
71,3715,GROUNDNUT LOOSE,COP LOOSE,Groundnut,WEST,84.52174785 - 152.7578501
72,1128,GH BANDHANI HING BT 50g,GOLDEN HARVEST,Asafoetida/Hing Powd,EAST,60.68571429 - 73.94400574
73,1129,GH BANDHANI HING BT 50g,GOLDEN HARVEST,Asafoetida/Hing Powd,NORTH,60.68571429 - 73.94400574
74,1130,GH BANDHANI HING BT 50g,GOLDEN HARVEST,Asafoetida/Hing Powd,SOUTH,60.68571429 - 73.94400574
75,1131,GH BANDHANI HING BT 50g,GOLDEN HARVEST,Asafoetida/Hing Powd,WEST,60.68571429 - 73.94400574
76,686,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,EAST,45.24390244 - 57.26215443
77,687,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,NORTH,45.24390244 - 57.26215443
78,688,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,SOUTH,45.24390244 - 57.26215443
79,689,DESI ATTA RICE ATTA PP 1Kg,DESI ATTA,Rice Based Flour,WEST,45.24390244 - 57.26215443
80,510,DESI ATTA CO KHAMAN DHOKLA MIX 200g,DESI ATTA,North Indian Mixes,EAST,29.91935484 - 53.08166667
81,511,DESI ATTA CO KHAMAN DHOKLA MIX 200g,DESI ATTA,North Indian Mixes,NORTH,29.91935484 - 53.08166667
82,512,DESI ATTA CO KHAMAN DHOKLA MIX 200g,DESI ATTA,North Indian Mixes,SOUTH,29.91935484 - 53.08166667
83,513,DESI ATTA CO KHAMAN DHOKLA MIX 200g,DESI ATTA,North Indian Mixes,WEST,29.91935484 - 53.08166667
84,969,EKTAA WHEAT DALIYA SMALL PP 1Kg,EKTAA,Daliya,EAST,46.75 - 71.6565035
85,970,EKTAA WHEAT DALIYA SMALL PP 1Kg,EKTAA,Daliya,NORTH,46.75 - 71.6565035
86,971,EKTAA WHEAT DALIYA SMALL PP 1Kg,EKTAA,Daliya,SOUTH,46.75 - 71.6565035
87,972,EKTAA WHEAT DALIYA SMALL PP 1Kg,EKTAA,Daliya,WEST,46.75 - 71.6565035
88,3871,KARMIQ CASHEW PREMIUM PP 500g,KARMIQ,Cashew,EAST,363.2328358 - 878.8667474
89,3872,KARMIQ CASHEW PREMIUM PP 500g,KARMIQ,Cashew,NORTH,363.2328358 - 878.8667474
90,3873,KARMIQ CASHEW PREMIUM PP 500g,KARMIQ,Cashew,SOUTH,363.2328358 - 878.8667474
91,3874,KARMIQ CASHEW PREMIUM PP 500g,KARMIQ,Cashew,WEST,363.2328358 - 878.8667474
92,3061,GH WHO SPICE GUNTUR CHILLI 100g,GOLDEN HARVEST,Chilli/Mirch Whole,EAST,25.36863508 - 48.18492537
93,3062,GH WHO SPICE GUNTUR CHILLI 100g,GOLDEN HARVEST,Chilli/Mirch Whole,NORTH,25.36863508 - 48.18492537
94,3063,GH WHO SPICE GUNTUR CHILLI 100g,GOLDEN HARVEST,Chilli/Mirch Whole,SOUTH,25.36863508 - 48.18492537
95,3064,GH WHO SPICE GUNTUR CHILLI 100g,GOLDEN HARVEST,Chilli/Mirch Whole,WEST,25.36863508 - 48.18492537
96,658,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,EAST,87.70108696 - 99.02851852
97,659,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,NORTH,87.70108696 - 99.02851852
98,660,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,SOUTH,87.70108696 - 99.02851852
99,661,DESI ATTA MULTIGRAIN DOSA MIX PP 500g,DESI ATTA,South Indian Mixes,WEST,87.70108696 - 99.02851852
100,5676,SANGIS KITCHEN KHUSKHUS WHOLE PP 50g,'SANGI''S KITCHEN',Poppy Seed/Khus Khus,EAST,55.19635628 - 75.8819242
101,5677,SANGIS KITCHEN KHUSKHUS WHOLE PP 50g,'SANGI''S KITCHEN',Poppy Seed/Khus Khus,NORTH,55.19635628 - 75.8819242
102,5678,SANGIS KITCHEN KHUSKHUS WHOLE PP 50g,'SANGI''S KITCHEN',Poppy Seed/Khus Khus,SOUTH,55.19635628 - 75.8819242
103,5679,SANGIS KITCHEN KHUSKHUS WHOLE PP 50g,'SANGI''S KITCHEN',Poppy Seed/Khus Khus,WEST,55.19635628 - 75.8819242
104,3217,GH WHO SPICE SAUNF SMALL 100g,GOLDEN HARVEST,Fennel/Saunf Whole,EAST,28.77464789 - 48.14898484
105,3218,GH WHO SPICE SAUNF SMALL 100g,GOLDEN HARVEST,Fennel/Saunf Whole,NORTH,28.77464789 - 48.14898484
106,3219,GH WHO SPICE SAUNF SMALL 100g,GOLDEN HARVEST,Fennel/Saunf Whole,SOUTH,28.77464789 - 48.14898484
107,3220,GH WHO SPICE SAUNF SMALL 100g,GOLDEN HARVEST,Fennel/Saunf Whole,WEST,28.77464789 - 48.14898484
108,3147,GH WHO SPICE MUSTARD BIG 100g,GOLDEN HARVEST,Mustard/Rai Whole,EAST,9.002191914 - 15.11873351
109,3148,GH WHO SPICE MUSTARD BIG 100g,GOLDEN HARVEST,Mustard/Rai Whole,NORTH,9.002191914 - 15.11873351
110,3149,GH WHO SPICE MUSTARD BIG 100g,GOLDEN HARVEST,Mustard/Rai Whole,SOUTH,9.002191914 - 15.11873351
111,3150,GH WHO SPICE MUSTARD BIG 100g,GOLDEN HARVEST,Mustard/Rai Whole,WEST,9.002191914 - 15.11873351
112,1692,GH LAZEEZ BASMATI RICE PP 5kg,GOLDEN HARVEST,Standard Rice,EAST,296.1764706 - 430.8156863
113,1693,GH LAZEEZ BASMATI RICE PP 5kg,GOLDEN HARVEST,Standard Rice,NORTH,296.1764706 - 430.8156863
114,1694,GH LAZEEZ BASMATI RICE PP 5kg,GOLDEN HARVEST,Standard Rice,SOUTH,296.1764706 - 430.8156863
115,1695,GH LAZEEZ BASMATI RICE PP 5kg,GOLDEN HARVEST,Standard Rice,WEST,296.1764706 - 430.8156863
116,1575,GH GROUNDNUT 500g,GOLDEN HARVEST,Groundnut,EAST,46.1015722 - 97.21836497
117,1576,GH GROUNDNUT 500g,GOLDEN HARVEST,Groundnut,NORTH,46.1015722 - 97.21836497
118,1577,GH GROUNDNUT 500g,GOLDEN HARVEST,Groundnut,SOUTH,46.1015722 - 97.21836497
119,1578,GH GROUNDNUT 500g,GOLDEN HARVEST,Groundnut,WEST,46.1015722 - 97.21836497
120,2985,GH WHO SPICE CLOVE 50g,GOLDEN HARVEST,Clove/Laung Whole,EAST,78.28300147 - 118.0758393
